SensorID,Humidity,Temperature,Date,Time
633384,39.89,21.6,2022-11-17,00:48:00
633384,39.74,21.6,2022-11-17,00:28:00
633384,39.74,21.6,2022-11-17,00:08:00
633384,39.74,21.6,2022-11-17,00:08:00
633384,39.74,21.6,2022-11-17,00:08:00
633384,39.68,21.6,2022-11-16,23:48:00
633384,39.68,21.6,2022-11-16,23:48:00
633384,39.68,21.6,2022-11-16,23:48:00
633384,39.67,21.6,2022-11-16,23:28:00
633384,39.67,21.6,2022-11-16,23:28:00
633384,39.62,21.6,2022-11-16,23:08:00
633384,39.62,21.6,2022-11-16,23:08:00
633384,39.62,21.6,2022-11-16,23:08:00
633384,39.4,21.6,2022-11-16,22:48:00
633384,39.4,21.6,2022-11-16,22:48:00
633384,39.4,21.6,2022-11-16,22:48:00
633384,38.96,21.7,2022-11-16,22:28:00
633384,38.56,21.7,2022-11-16,22:08:00
633384,38.56,21.7,2022-11-16,22:08:00
633384,38.29,21.9,2022-11-16,21:48:00
633384,38.29,21.9,2022-11-16,21:48:00
633384,38.57,22.0,2022-11-16,21:28:00
633384,38.57,22.0,2022-11-16,21:28:00
633384,39.13,21.8,2022-11-16,21:08:00
633384,39.13,21.8,2022-11-16,21:08:00
633384,39.13,21.8,2022-11-16,21:08:00
633384,38.93,22.0,2022-11-16,20:48:00
633384,38.93,22.0,2022-11-16,20:48:00
633384,38.93,22.0,2022-11-16,20:48:00
633384,39.1,22.2,2022-11-16,20:28:00
633384,39.1,22.2,2022-11-16,20:28:00
633384,39.1,22.2,2022-11-16,20:28:00
633384,39.26,22.1,2022-11-16,20:08:00
633384,39.31,22.0,2022-11-16,19:48:00
633384,39.39,22.1,2022-11-16,19:28:00
633384,39.42,22.1,2022-11-16,19:08:00
633384,39.43,22.2,2022-11-16,18:48:00
633384,39.39,22.2,2022-11-16,18:28:00
633384,39.36,22.1,2022-11-16,18:08:00
633384,39.36,22.1,2022-11-16,18:08:00
633384,39.32,22.1,2022-11-16,17:48:00
633384,39.27,22.0,2022-11-16,17:28:00
633384,39.03,22.2,2022-11-16,17:08:00
633384,39.44,22.0,2022-11-16,16:48:00
633384,39.49,22.0,2022-11-16,16:28:00
633384,39.54,22.1,2022-11-16,16:08:00
633384,39.78,22.1,2022-11-16,15:48:00
633384,39.66,22.0,2022-11-16,15:28:00
633384,39.61,22.0,2022-11-16,15:08:00
633384,39.42,22.0,2022-11-16,14:48:00
633384,39.54,22.0,2022-11-16,14:28:00
633384,39.53,21.9,2022-11-16,14:08:00
633384,39.36,21.9,2022-11-16,13:48:00
633384,39.56,21.9,2022-11-16,13:28:00
633384,39.52,22.0,2022-11-16,13:08:00
633384,39.77,21.9,2022-11-16,12:48:00
633384,40.38,21.9,2022-11-16,12:28:00
633384,40.7,21.8,2022-11-16,12:08:00
633384,41.55,21.8,2022-11-16,11:48:00
633384,41.49,21.7,2022-11-16,11:28:00
633384,40.3,21.6,2022-11-16,11:08:00
633384,40.28,21.7,2022-11-16,10:48:00
633384,40.77,21.4,2022-11-16,10:28:00
633384,40.37,21.3,2022-11-16,10:08:00
633384,40.18,21.3,2022-11-16,09:48:00
633384,39.81,21.4,2022-11-16,09:28:00
633384,39.44,21.5,2022-11-16,09:08:00
633384,39.16,21.4,2022-11-16,08:48:00
633384,38.35,21.8,2022-11-16,08:28:00
633384,39.15,21.5,2022-11-16,08:08:00
633384,39.01,21.5,2022-11-16,07:48:00
633384,39.02,21.7,2022-11-16,07:28:00
633384,39.6,21.2,2022-11-16,07:08:00
633384,38.86,21.4,2022-11-16,06:48:00
633384,38.87,21.5,2022-11-16,06:28:00
633384,39.54,21.3,2022-11-16,06:08:00
633384,39.94,21.3,2022-11-16,05:48:00
633384,40.06,21.3,2022-11-16,05:28:00
633384,40.15,21.3,2022-11-16,05:08:00
633384,40.24,21.4,2022-11-16,04:48:00
633384,40.37,21.4,2022-11-16,04:28:00
633384,40.39,21.4,2022-11-16,04:08:00
633384,40.51,21.4,2022-11-16,03:48:00
633384,40.51,21.4,2022-11-16,03:48:00
633384,40.51,21.4,2022-11-16,03:48:00
633384,40.46,21.4,2022-11-16,03:28:00
633384,40.46,21.4,2022-11-16,03:28:00
633384,40.46,21.4,2022-11-16,03:28:00
633384,40.56,21.4,2022-11-16,03:08:00
633384,40.57,21.4,2022-11-16,02:48:00
633384,40.68,21.4,2022-11-16,02:28:00
633384,40.62,21.4,2022-11-16,02:08:00
633384,40.62,21.4,2022-11-16,02:08:00
633384,40.62,21.4,2022-11-16,02:08:00
633384,40.78,21.4,2022-11-16,01:48:00
633384,40.78,21.4,2022-11-16,01:48:00
633384,40.88,21.5,2022-11-16,01:28:00
633384,40.88,21.5,2022-11-16,01:28:00
633384,40.86,21.5,2022-11-16,01:08:00
633384,40.94,21.5,2022-11-16,00:48:00
633384,41.05,21.5,2022-11-16,00:28:00
633384,41.03,21.5,2022-11-16,00:08:00
633384,41.1,21.5,2022-11-15,23:48:00
633384,41.18,21.6,2022-11-15,23:28:00
633384,41.13,21.6,2022-11-15,23:08:00
633384,41.02,21.6,2022-11-15,22:48:00
633384,41.01,21.6,2022-11-15,22:28:00
633384,41.03,21.7,2022-11-15,22:08:00
633384,40.54,21.9,2022-11-15,21:48:00
633384,42.28,21.8,2022-11-15,21:28:00
633384,42.22,22.0,2022-11-15,21:08:00
633384,43.33,21.9,2022-11-15,20:48:00
633384,43.48,22.1,2022-11-15,20:28:00
633384,44.89,22.0,2022-11-15,20:08:00
633384,45.03,22.2,2022-11-15,19:48:00
633384,46.5,22.0,2022-11-15,19:28:00
633384,46.54,22.2,2022-11-15,19:08:00
633384,47.97,22.1,2022-11-15,18:48:00
633384,48.76,22.2,2022-11-15,18:28:00
633384,50.48,22.3,2022-11-15,18:08:00
633384,49.54,22.2,2022-11-15,17:48:00
633384,50.97,22.4,2022-11-15,17:28:00
633384,50.68,22.4,2022-11-15,17:08:00
633384,51.48,22.5,2022-11-15,16:48:00
633384,52.05,22.4,2022-11-15,16:28:00
633384,51.56,22.3,2022-11-15,16:08:00
633384,51.63,22.4,2022-11-15,15:48:00
633384,52.71,22.3,2022-11-15,15:28:00
633384,52.71,22.4,2022-11-15,15:08:00
633384,52.38,22.3,2022-11-15,14:48:00
633384,52.38,22.3,2022-11-15,14:28:00
633384,51.77,22.2,2022-11-15,14:08:00
633384,51.28,22.3,2022-11-15,13:48:00
633384,51.89,22.2,2022-11-15,13:28:00
