SensorID,Date,Time,x,y,z,xFreq,yFreq,zFreq
814111,11/15/2022,4:40 pm,0.5,0.8,0.6,15,12,12
814111,11/15/2022,4:30 pm,0.5,0.9,0.6,12,12,12
814111,11/15/2022,4:20 pm,0.5,0.9,0.5,14,11,13
814111,11/15/2022,4:10 pm,0.6,1.2,0.7,14,12,12
814111,11/15/2022,4:00 pm,0.5,1,0.7,11,12,12
814111,11/15/2022,3:50 pm,0.5,0.9,0.6,15,11,13
814111,11/15/2022,3:40 pm,0.5,1.1,0.6,13,11,11
814111,11/15/2022,3:30 pm,0.5,0.8,0.5,13,13,13
814111,11/15/2022,3:20 pm,0.5,0.9,0.6,11,11,16
814111,11/15/2022,3:10 pm,0.5,1,0.7,14,12,12
814111,11/15/2022,3:00 pm,0.7,1.4,0.8,13,11,13
814111,11/15/2022,2:50 pm,0.6,0.8,0.6,14,11,12
814111,11/15/2022,2:40 pm,0.5,0.9,0.5,14,12,17
814111,11/15/2022,2:30 pm,0.5,0.8,0.5,12,12,12
814111,11/15/2022,2:20 pm,0.5,0.8,0.6,12,11,12
814111,11/15/2022,2:10 pm,0.5,1.2,0.8,14,13,12
814111,11/15/2022,2:00 pm,0.7,1.6,0.9,11,12,14
814111,11/15/2022,1:50 pm,0.5,0.9,0.5,14,12,11
814111,11/15/2022,1:40 pm,0.5,0.8,0.5,11,12,12
814111,11/15/2022,1:30 pm,0.5,0.6,0.5,16,12,13
814111,11/15/2022,1:20 pm,0.5,0.9,0.5,10,12,12
814111,11/15/2022,1:10 pm,0.6,1.6,0.8,13,12,14
814111,11/15/2022,1:00 pm,0.8,2,1.1,13,10,13
814111,11/15/2022,12:50 pm,0.6,1.1,0.7,12,12,12
814111,11/15/2022,12:40 pm,0.5,0.9,0.6,13,13,11
814111,11/15/2022,12:30 pm,0.5,0.7,0.5,14,12,13
814111,11/15/2022,12:20 pm,0.5,0.8,0.5,13,10,11
814111,11/15/2022,12:10 pm,0.6,1.3,0.8,16,14,15
814111,11/15/2022,12:00 pm,0.7,1.4,0.8,12,13,13
814111,11/15/2022,11:50 am,0.5,0.7,0.5,12,12,13
814111,11/15/2022,11:40 am,0.6,1,0.7,11,10,11
814111,11/15/2022,11:40 am,0,0,0,0,0,0
